// output from Obj2DatTex.py Wavefront text file conversion script
// (c) 2005 By Giles Williams
// 
// original file: "/Volumes/teak/Users/giles/Desktop/new-ships/qbomb.obj"
// 
// model size: 5.004 x 1.668 x 1.668
// 
// textures used: ['qbomb.png']
// 
NVERTS 24
NFACES 44

VERTEX
2.50200, 0.278000, 0.278000
2.50200, 0.278000, -0.278000
2.50200, -0.278000, 0.278000
2.50200, -0.278000, -0.278000
-2.50200, 0.278000, 0.278000
-2.50200, 0.278000, -0.278000
-2.50200, -0.278000, 0.278000
-2.50200, -0.278000, -0.278000
0.834000, 0.834000, 0.278000
0.834000, 0.834000, -0.278000
0.834000, -0.834000, 0.278000
0.834000, -0.834000, -0.278000
0.834000, 0.278000, 0.834000
0.834000, 0.278000, -0.834000
0.834000, -0.278000, 0.834000
0.834000, -0.278000, -0.834000
-0.834000, 0.834000, 0.278000
-0.834000, 0.834000, -0.278000
-0.834000, -0.834000, 0.278000
-0.834000, -0.834000, -0.278000
-0.834000, 0.278000, 0.834000
-0.834000, 0.278000, -0.834000
-0.834000, -0.278000, 0.834000
-0.834000, -0.278000, -0.834000

FACES
127,127,127,	1.000000,0.000000,0.000000,	3,	0,2,3
127,127,127,	1.000000,-0.000000,0.000000,	3,	0,3,1
127,127,127,	0.316228,0.000000,0.948683,	3,	0,12,14
127,127,127,	0.316228,0.000000,0.948683,	3,	0,14,2
127,127,127,	0.316228,0.948683,-0.000000,	3,	1,9,8
127,127,127,	0.316228,0.948683,0.000000,	3,	1,8,0
127,127,127,	0.229416,0.688247,-0.688247,	3,	1,13,9
127,127,127,	0.316228,-0.948683,0.000000,	3,	2,10,11
127,127,127,	0.316228,-0.948683,0.000000,	3,	2,11,3
127,127,127,	0.229416,-0.688247,0.688247,	3,	2,14,10
127,127,127,	0.316228,0.000000,-0.948683,	3,	3,15,13
127,127,127,	0.316228,0.000000,-0.948683,	3,	3,13,1
127,127,127,	-0.316228,0.948683,0.000000,	3,	4,16,17
127,127,127,	-0.316228,0.948683,0.000000,	3,	4,17,5
127,127,127,	-0.229416,0.688247,0.688247,	3,	4,20,16
127,127,127,	-1.000000,0.000000,0.000000,	3,	5,7,6
127,127,127,	-1.000000,0.000000,0.000000,	3,	5,6,4
127,127,127,	-0.316228,-0.000000,-0.948683,	3,	5,21,23
127,127,127,	-0.316228,0.000000,-0.948683,	3,	5,23,7
127,127,127,	-0.316228,0.000000,0.948683,	3,	6,22,20
127,127,127,	-0.316228,0.000000,0.948683,	3,	6,20,4
127,127,127,	-0.316228,-0.948683,0.000000,	3,	7,19,18
127,127,127,	-0.316228,-0.948683,0.000000,	3,	7,18,6
127,127,127,	-0.229416,-0.688247,-0.688247,	3,	7,23,19
127,127,127,	0.229416,0.688247,0.688247,	3,	8,12,0
127,127,127,	0.000000,0.707107,0.707107,	3,	8,16,20
127,127,127,	-0.000000,0.707107,0.707107,	3,	8,20,12
127,127,127,	0.000000,1.000000,-0.000000,	3,	9,17,16
127,127,127,	0.000000,1.000000,-0.000000,	3,	9,16,8
127,127,127,	-0.000000,-1.000000,-0.000000,	3,	10,18,19
127,127,127,	0.000000,-1.000000,-0.000000,	3,	10,19,11
127,127,127,	0.229416,-0.688247,-0.688247,	3,	11,15,3
127,127,127,	-0.000000,-0.707107,-0.707107,	3,	11,19,23
127,127,127,	0.000000,-0.707107,-0.707107,	3,	11,23,15
127,127,127,	0.000000,0.000000,1.000000,	3,	12,20,22
127,127,127,	-0.000000,0.000000,1.000000,	3,	12,22,14
127,127,127,	0.000000,0.707107,-0.707107,	3,	13,21,17
127,127,127,	0.000000,0.707107,-0.707107,	3,	13,17,9
127,127,127,	0.000000,-0.707107,0.707107,	3,	14,22,18
127,127,127,	0.000000,-0.707107,0.707107,	3,	14,18,10
127,127,127,	0.000000,0.000000,-1.000000,	3,	15,23,21
127,127,127,	0.000000,0.000000,-1.000000,	3,	15,21,13
127,127,127,	-0.229416,0.688247,-0.688247,	3,	17,21,5
127,127,127,	-0.229416,-0.688247,0.688247,	3,	18,22,6

TEXTURES
qbomb.png	1.0 1.0	0.136885 0.497319	0.059001 0.497316	0.059000 0.575195
qbomb.png	1.0 1.0	0.136885 0.497319	0.059000 0.575195	0.136886 0.575201
qbomb.png	1.0 1.0	0.136885 0.387168	0.383181 0.387167	0.383178 0.309295
qbomb.png	1.0 1.0	0.136885 0.387168	0.383178 0.309295	0.136886 0.309284
qbomb.png	1.0 1.0	0.136886 0.575201	0.383170 0.575195	0.383184 0.497311
qbomb.png	1.0 1.0	0.136886 0.575201	0.383184 0.497311	0.136885 0.497319
qbomb.png	1.0 1.0	0.143172 0.630299	0.383168 0.685346	0.383170 0.575195
qbomb.png	1.0 1.0	0.136886 0.951251	0.383185 0.951242	0.383175 0.873372
qbomb.png	1.0 1.0	0.136886 0.951251	0.383175 0.873372	0.136883 0.873364
qbomb.png	1.0 1.0	0.143117 0.254188	0.383178 0.309295	0.383176 0.199148
qbomb.png	1.0 1.0	0.136887 0.763224	0.383176 0.763233	0.383168 0.685346
qbomb.png	1.0 1.0	0.136887 0.763224	0.383168 0.685346	0.136891 0.685345
qbomb.png	1.0 1.0	0.863116 0.497321	0.616828 0.497320	0.616825 0.575196
qbomb.png	1.0 1.0	0.863116 0.497321	0.616825 0.575196	0.863112 0.575202
qbomb.png	1.0 1.0	0.856885 0.442251	0.616825 0.387180	0.616828 0.497320
qbomb.png	1.0 1.0	0.863112 0.575202	0.940997 0.575201	0.941000 0.497320
qbomb.png	1.0 1.0	0.863112 0.575202	0.941000 0.497320	0.863116 0.497321
qbomb.png	1.0 1.0	0.863112 0.685346	0.616824 0.685350	0.616826 0.763220
qbomb.png	1.0 1.0	0.863112 0.685346	0.616826 0.763220	0.863113 0.763227
qbomb.png	1.0 1.0	0.863115 0.309293	0.616830 0.309289	0.616825 0.387180
qbomb.png	1.0 1.0	0.863115 0.309293	0.616825 0.387180	0.863116 0.387179
qbomb.png	1.0 1.0	0.863106 0.873368	0.616826 0.873364	0.616821 0.951266
qbomb.png	1.0 1.0	0.863106 0.873368	0.616821 0.951266	0.863112 0.951253
qbomb.png	1.0 1.0	0.856853 0.818303	0.616826 0.763220	0.616826 0.873364
qbomb.png	1.0 1.0	0.383184 0.497311	0.383181 0.387167	0.143081 0.442259
qbomb.png	1.0 1.0	0.383184 0.497311	0.616828 0.497320	0.616825 0.387180
qbomb.png	1.0 1.0	0.383184 0.497311	0.616825 0.387180	0.383181 0.387167
qbomb.png	1.0 1.0	0.383170 0.575195	0.616825 0.575196	0.616828 0.497320
qbomb.png	1.0 1.0	0.383170 0.575195	0.616828 0.497320	0.383184 0.497311
qbomb.png	1.0 1.0	0.383185 0.951242	0.616821 0.951266	0.616826 0.873364
qbomb.png	1.0 1.0	0.383185 0.951242	0.616826 0.873364	0.383175 0.873372
qbomb.png	1.0 1.0	0.383175 0.873372	0.383176 0.763233	0.143076 0.818249
qbomb.png	1.0 1.0	0.383175 0.873372	0.616826 0.873364	0.616826 0.763220
qbomb.png	1.0 1.0	0.383175 0.873372	0.616826 0.763220	0.383176 0.763233
qbomb.png	1.0 1.0	0.383181 0.387167	0.616825 0.387180	0.616830 0.309289
qbomb.png	1.0 1.0	0.383181 0.387167	0.616830 0.309289	0.383178 0.309295
qbomb.png	1.0 1.0	0.383168 0.685346	0.616824 0.685350	0.616825 0.575196
qbomb.png	1.0 1.0	0.383168 0.685346	0.616825 0.575196	0.383170 0.575195
qbomb.png	1.0 1.0	0.383178 0.309295	0.616830 0.309289	0.616833 0.199139
qbomb.png	1.0 1.0	0.383178 0.309295	0.616833 0.199139	0.383176 0.199148
qbomb.png	1.0 1.0	0.383176 0.763233	0.616826 0.763220	0.616824 0.685350
qbomb.png	1.0 1.0	0.383176 0.763233	0.616824 0.685350	0.383168 0.685346
qbomb.png	1.0 1.0	0.616825 0.575196	0.616824 0.685350	0.856876 0.630275
qbomb.png	1.0 1.0	0.616833 0.199139	0.616830 0.309289	0.856854 0.254223

END
