NVERTS 35
NFACES 83

VERTEX
0.442, 0, -0.884
-0.442, 0, -0.884
-0.221, 0.383, -0.884
0.221, 0.383, -0.884
0.625, 0, 0
-0.625, 0, 0
-0.3125, 0.541, 0
0.3125, 0.541, 0
0.442, 0, 0.884
-0.442, 0, 0.884
-0.221, 0.383, 0.884
0.221, 0.383, 0.884
0, 0, 1.25
0.442, 0, -2.1340001
-0.442, 0, -2.1340001
-0.221, 0.383, -2.1340001
0.221, 0.383, -2.1340001
0.221, 0, -3.3840001
-0.221, 0, -3.3840001
-0.1105, 0.1915, -3.3840001
0.1105, 0.1915, -3.3840001
2.25, 0, -4.875
-1.125, 1.9485002, -4.875
-0.221, -0.383, -0.884
0.221, -0.383, -0.884
-0.3125, -0.541, 0
0.3125, -0.541, 0
-0.221, -0.383, 0.884
0.221, -0.383, 0.884
-0.221, -0.383, -2.1340001
0.221, -0.383, -2.1340001
-0.1105, -0.1915, -3.3840001
0.1105, -0.1915, -3.3840001
-1.125, -1.9485002, -4.875
0, 0, -3.1340001

FACES
127,127,127,	-0.930682,-0.349778,0.107172,	3,	18,15,22
127,127,127,	-0.930682,0.349778,0.107172,	3,	33,29,18
127,127,127,	-0.866021,-0.500007,0.000045,	3,	19,15,22
127,127,127,	0.560455,0.323396,-0.762434,	3,	31,33,18
127,127,127,	-0.866021,0.500007,0.000045,	3,	33,29,31
127,127,127,	0.560455,-0.323396,-0.762434,	3,	18,22,19
127,127,127,	-0.852333,-0.492337,0.176445,	3,	5,25,9
127,127,127,	-0.852333,-0.492337,-0.176445,	3,	25,5,1
127,127,127,	-0.852333,0.492337,-0.176445,	3,	1,5,6
127,127,127,	-0.852333,0.492337,0.176445,	3,	9,6,5
127,127,127,	0.768279,-0.631098,0.107063,	3,	32,29,33
127,127,127,	0.768279,0.631098,0.107063,	3,	22,15,20
127,127,127,	0.000000,0.647031,-0.762464,	3,	33,31,32
127,127,127,	-0.000000,-0.647031,-0.762464,	3,	20,19,22
127,127,127,	-0.866148,-0.499788,-0.000000,	3,	29,1,14
127,127,127,	-0.866148,0.499788,0.000000,	3,	14,1,15
127,127,127,	-0.852599,-0.491970,-0.176181,	3,	1,23,25
127,127,127,	-0.852599,-0.491970,0.176181,	3,	27,9,25
127,127,127,	-0.852599,0.491970,0.176181,	3,	6,9,10
127,127,127,	-0.852599,0.491970,-0.176181,	3,	6,2,1
127,127,127,	-0.866148,-0.499788,0.000000,	3,	23,1,29
127,127,127,	-0.866148,0.499788,0.000000,	3,	15,1,2
127,127,127,	-0.856167,-0.494029,-0.151370,	3,	14,18,29
127,127,127,	-0.856167,0.494029,-0.151370,	3,	15,18,14
127,127,127,	-0.856167,-0.494029,-0.151370,	3,	29,14,31
127,127,127,	-0.856167,0.494029,-0.151370,	3,	19,14,15
127,127,127,	-0.856167,-0.494029,-0.151370,	3,	31,14,18
127,127,127,	-0.856167,0.494029,-0.151370,	3,	18,14,19
127,127,127,	-0.598537,0.345370,0.722823,	3,	12,10,9
127,127,127,	-0.598537,-0.345370,0.722823,	3,	9,27,12
127,127,127,	0.856167,0.494029,0.151370,	3,	31,18,29
127,127,127,	0.856167,-0.494029,0.151370,	3,	15,18,19
127,127,127,	0.687710,-0.396825,-0.607935,	3,	18,19,34
127,127,127,	0.687710,0.396825,-0.607935,	3,	34,31,18
127,127,127,	0.000000,-0.984400,0.175945,	3,	25,26,27
127,127,127,	-0.000000,-1.000000,-0.000000,	3,	30,23,29
127,127,127,	-0.000000,1.000000,0.000000,	3,	15,2,16
127,127,127,	0.000000,0.984400,0.175945,	3,	10,7,6
127,127,127,	-0.000000,-0.984400,-0.175945,	3,	26,25,23
127,127,127,	0.000000,-0.988467,0.151433,	3,	20,15,19
127,127,127,	0.000000,0.984400,-0.175945,	3,	2,6,7
127,127,127,	0.000000,0.988467,0.151433,	3,	31,29,32
127,127,127,	0.000000,-0.793862,-0.608098,	3,	19,20,34
127,127,127,	0.000000,0.793862,-0.608098,	3,	34,32,31
127,127,127,	0.000000,0.690880,0.722970,	3,	12,11,10
127,127,127,	0.000000,-0.690880,0.722970,	3,	27,28,12
